journal_full_title;issn;eissn;doi;period;is_gold;is_hybrid;is_green;non_oa;bfi_level;publisher;institution;corresponding_author;corresponding_institution;euro;submission_fee;page_charge;color_charge;CC-charge;discount;dk_funding
Leukemia;0887-6924;;10.1038/leu.2014.307;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;DanStem;;;;;;;;;
Astronomische Nachrichten;0004-6337;;10.1002/asna.201512206;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;DARK;;;;;;;;;
Astronomy & Astrophysics;1432-0746;;10.1051/0004-6361/201322689;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;DARK;;;;;;;;;
Astrophysical Journal;0004-637X;;10.1088/2041-8205/809/1/L7;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;DARK;;;;;;;;;
Astrophysical Journal;0004-637X;;10.1088/0004-637X/810/1/73;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;DARK;;;;;;;;;
Physics Letters. Section B: Nuclear, Elementary Particle and High-Energy Physics;0370-2693;;10.1016/j.physletb.2015.03.002;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;DARK;;;;;;;;;
Royal Astronomical Society. Monthly Notices;0035-8711;;10.1093/mnras/stv1505;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;DARK;;;;;;;;;
A C M Transactions on Computer - Human Interaction;1073-0516;;10.1145/2724710;2015;;;;true;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;Association of Computer Machinery;Datalogisk Institut;non-dk;;;;;;;;
American Journal of Respiratory and Critical Care Medicine;1073-449X;;10.1164/rccm.201501-0061OC;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Datalogisk Institut;;;;;;;;;
Annals of Pure and Applied Logic;0168-0072;;10.1016/j.apal.2014.10.005;2015;;;;;2008:BFI:1, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Datalogisk Institut;;;;;;;;;
